feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
911224|South Crosby Peak|Summit|New Mexico|35|Catron|003|Sugarloaf Mountain|11/13/1980|01/22/2020||||340611N|1075614W|34.1030789|-107.9370994|||0.0|0.0
911225|South Dam Canyon|Valley|New Mexico|35|Otero|035|Mayhill|11/13/1980|01/29/2020||||325323N|1052247W|32.8896775|-105.3796923|325311N|1052411W|32.8863571|-105.4030974
911226|South Diamond Creek|Stream|New Mexico|35|Catron|003|Wall Lake|11/13/1980|||||331720N|1080422W|33.2889583|-108.0728234|331402N|1075103W|33.23396|-107.8508717
911227|South Dugway Canyon|Valley|New Mexico|35|Catron|003|Glenwood|11/13/1980|01/28/2020||||331511N|1085239W|33.252983|-108.8775467|331623N|1084733W|33.273141|-108.7923924
911228|South Fork Arroyo de los Pinos|Stream|New Mexico|35|Sandoval|043|La Ventana|11/13/1980|||||355149N|1065656W|35.8636326|-106.9489283|355143N|1065231W|35.8619444|-106.8752778
911229|South Fork Bear Creek|Stream|New Mexico|35|San Miguel|047|Elk Mountain|11/13/1980|||||354805N|1053455W|35.801421|-105.5819605|354756N|1053238W|35.7988889|-105.5438889
911230|South Fork Cañada del Agua|Stream|New Mexico|35|Rio Arriba|039|Valle Grande Peak|11/13/1980|||||362809N|1060822W|36.4691845|-106.1394668|362754N|1061107W|36.465|-106.1852778
911231|South Fork Cedar Creek|Stream|New Mexico|35|Otero|035|Ruidoso|11/13/1980|||||332210N|1054158W|33.3695255|-105.6994301|332159N|1054418W|33.3663889|-105.7383333
911232|South Fork Cuchillo Negro Creek|Stream|New Mexico|35|Sierra|051|Winston|11/13/1980|||||331647N|1073752W|33.2797929|-107.6311467|331838N|1074901W|33.3106257|-107.8169831
911233|South Fork Eagle Creek|Stream|New Mexico|35|Otero|035|Angus|11/13/1980|||||332333N|1054328W|33.39258|-105.7244304|332259N|1054602W|33.3831352|-105.7672091
911235|South Fork Mimbres River|Stream|New Mexico|35|Grant|017|Hay Mesa|11/13/1980||Official|Board Decision|01/01/1965|330537N|1075325W|33.0936827|-107.8903163|330328N|1075138W|33.0578494|-107.860593
911236|South Fork Mineral Creek|Stream|New Mexico|35|Catron|003|Bearwallow Mountain|11/13/1980|||||332328N|1083934W|33.3911738|-108.6595038|332241N|1083807W|33.3780556|-108.6352778
